HHINCOME,HHINCOME_group
-16800,Negative or Zero
-14000,Negative or Zero
-13800,Negative or Zero
-10800,Negative or Zero
-10600,Negative or Zero
-9800,Negative or Zero
-9400,Negative or Zero
-9100,Negative or Zero
-8700,Negative or Zero
-8600,Negative or Zero
-8500,Negative or Zero
-8400,Negative or Zero
-8300,Negative or Zero
-8200,Negative or Zero
-8100,Negative or Zero
-8000,Negative or Zero
-7900,Negative or Zero
-7800,Negative or Zero
-7720,Negative or Zero
-7600,Negative or Zero
-7500,Negative or Zero
-7496,Negative or Zero
-7300,Negative or Zero
-7200,Negative or Zero
-7100,Negative or Zero
-7000,Negative or Zero
-6800,Negative or Zero
-6700,Negative or Zero
-6690,Negative or Zero
-6600,Negative or Zero
-6300,Negative or Zero
-6200,Negative or Zero
-6190,Negative or Zero
-6100,Negative or Zero
-6050,Negative or Zero
-6000,Negative or Zero
-5900,Negative or Zero
-5800,Negative or Zero
-5792,Negative or Zero
-5700,Negative or Zero
-5600,Negative or Zero
-5500,Negative or Zero
-5400,Negative or Zero
-5300,Negative or Zero
-5200,Negative or Zero
-5100,Negative or Zero
-5000,Negative or Zero
-4920,Negative or Zero
-4900,Negative or Zero
-4800,Negative or Zero
-4792,Negative or Zero
-4640,Negative or Zero
-4600,Negative or Zero
-4410,Negative or Zero
-4400,Negative or Zero
-4200,Negative or Zero
-4100,Negative or Zero
-4000,Negative or Zero
-3900,Negative or Zero
-3800,Negative or Zero
-3600,Negative or Zero
-3450,Negative or Zero
-3400,Negative or Zero
-3300,Negative or Zero
-3290,Negative or Zero
-3200,Negative or Zero
-3100,Negative or Zero
-3000,Negative or Zero
-2900,Negative or Zero
-2860,Negative or Zero
-2800,Negative or Zero
-2700,Negative or Zero
-2690,Negative or Zero
-2610,Negative or Zero
-2600,Negative or Zero
-2596,Negative or Zero
-2520,Negative or Zero
-2500,Negative or Zero
-2440,Negative or Zero
-2410,Negative or Zero
-2400,Negative or Zero
-2370,Negative or Zero
-2300,Negative or Zero
-2296,Negative or Zero
-2200,Negative or Zero
-2196,Negative or Zero
-2180,Negative or Zero
-2170,Negative or Zero
-2120,Negative or Zero
-2100,Negative or Zero
-2030,Negative or Zero
-2000,Negative or Zero
-1990,Negative or Zero
-1930,Negative or Zero
-1900,Negative or Zero
-1899,Negative or Zero
-1896,Negative or Zero
-1890,Negative or Zero
-1800,Negative or Zero
-1780,Negative or Zero
-1760,Negative or Zero
-1740,Negative or Zero
-1710,Negative or Zero
-1700,Negative or Zero
-1696,Negative or Zero
-1690,Negative or Zero
-1680,Negative or Zero
-1650,Negative or Zero
-1600,Negative or Zero
-1580,Negative or Zero
-1560,Negative or Zero
-1500,Negative or Zero
-1496,Negative or Zero
-1410,Negative or Zero
-1400,Negative or Zero
-1380,Negative or Zero
-1360,Negative or Zero
-1330,Negative or Zero
-1300,Negative or Zero
-1250,Negative or Zero
-1210,Negative or Zero
-1200,Negative or Zero
-1180,Negative or Zero
-1100,Negative or Zero
-1070,Negative or Zero
-1000,Negative or Zero
-950,Negative or Zero
-900,Negative or Zero
-890,Negative or Zero
-870,Negative or Zero
-800,Negative or Zero
-700,Negative or Zero
-620,Negative or Zero
-600,Negative or Zero
-540,Negative or Zero
-500,Negative or Zero
-440,Negative or Zero
-400,Negative or Zero
-300,Negative or Zero
-200,Negative or Zero
-170,Negative or Zero
-150,Negative or Zero
-100,Negative or Zero
-4,Negative or Zero
0,Negative or Zero
1,"Under $25,000"
4,"Under $25,000"
8,"Under $25,000"
10,"Under $25,000"
12,"Under $25,000"
16,"Under $25,000"
20,"Under $25,000"
24,"Under $25,000"
30,"Under $25,000"
40,"Under $25,000"
50,"Under $25,000"
60,"Under $25,000"
70,"Under $25,000"
80,"Under $25,000"
90,"Under $25,000"
100,"Under $25,000"
110,"Under $25,000"
120,"Under $25,000"
130,"Under $25,000"
140,"Under $25,000"
150,"Under $25,000"
160,"Under $25,000"
170,"Under $25,000"
180,"Under $25,000"
190,"Under $25,000"
200,"Under $25,000"
210,"Under $25,000"
220,"Under $25,000"
230,"Under $25,000"
240,"Under $25,000"
250,"Under $25,000"
260,"Under $25,000"
270,"Under $25,000"
280,"Under $25,000"
290,"Under $25,000"
300,"Under $25,000"
304,"Under $25,000"
310,"Under $25,000"
320,"Under $25,000"
330,"Under $25,000"
340,"Under $25,000"
350,"Under $25,000"
360,"Under $25,000"
364,"Under $25,000"
370,"Under $25,000"
380,"Under $25,000"
390,"Under $25,000"
400,"Under $25,000"
410,"Under $25,000"
420,"Under $25,000"
430,"Under $25,000"
440,"Under $25,000"
450,"Under $25,000"
460,"Under $25,000"
470,"Under $25,000"
480,"Under $25,000"
490,"Under $25,000"
500,"Under $25,000"
504,"Under $25,000"
510,"Under $25,000"
514,"Under $25,000"
520,"Under $25,000"
530,"Under $25,000"
540,"Under $25,000"
550,"Under $25,000"
560,"Under $25,000"
564,"Under $25,000"
570,"Under $25,000"
580,"Under $25,000"
590,"Under $25,000"
600,"Under $25,000"
604,"Under $25,000"
610,"Under $25,000"
620,"Under $25,000"
630,"Under $25,000"
640,"Under $25,000"
650,"Under $25,000"
660,"Under $25,000"
670,"Under $25,000"
680,"Under $25,000"
690,"Under $25,000"
700,"Under $25,000"
710,"Under $25,000"
720,"Under $25,000"
730,"Under $25,000"
740,"Under $25,000"
750,"Under $25,000"
760,"Under $25,000"
770,"Under $25,000"
780,"Under $25,000"
790,"Under $25,000"
800,"Under $25,000"
801,"Under $25,000"
804,"Under $25,000"
810,"Under $25,000"
820,"Under $25,000"
830,"Under $25,000"
840,"Under $25,000"
850,"Under $25,000"
860,"Under $25,000"
870,"Under $25,000"
880,"Under $25,000"
890,"Under $25,000"
900,"Under $25,000"
910,"Under $25,000"
920,"Under $25,000"
930,"Under $25,000"
940,"Under $25,000"
950,"Under $25,000"
960,"Under $25,000"
970,"Under $25,000"
980,"Under $25,000"
990,"Under $25,000"
1000,"Under $25,000"
1010,"Under $25,000"
1020,"Under $25,000"
1030,"Under $25,000"
1040,"Under $25,000"
1050,"Under $25,000"
1060,"Under $25,000"
1070,"Under $25,000"
1080,"Under $25,000"
1090,"Under $25,000"
1100,"Under $25,000"
1110,"Under $25,000"
1120,"Under $25,000"
1130,"Under $25,000"
1140,"Under $25,000"
1150,"Under $25,000"
1160,"Under $25,000"
1170,"Under $25,000"
1180,"Under $25,000"
1190,"Under $25,000"
1200,"Under $25,000"
1204,"Under $25,000"
1210,"Under $25,000"
1220,"Under $25,000"
1230,"Under $25,000"
1240,"Under $25,000"
1250,"Under $25,000"
1260,"Under $25,000"
1270,"Under $25,000"
1280,"Under $25,000"
1290,"Under $25,000"
1300,"Under $25,000"
1304,"Under $25,000"
1310,"Under $25,000"
1320,"Under $25,000"
1330,"Under $25,000"
1340,"Under $25,000"
1350,"Under $25,000"
1360,"Under $25,000"
1370,"Under $25,000"
1380,"Under $25,000"
1390,"Under $25,000"
1400,"Under $25,000"
1404,"Under $25,000"
1410,"Under $25,000"
1420,"Under $25,000"
1430,"Under $25,000"
1440,"Under $25,000"
1450,"Under $25,000"
1460,"Under $25,000"
1470,"Under $25,000"
1480,"Under $25,000"
1490,"Under $25,000"
1500,"Under $25,000"
1510,"Under $25,000"
1520,"Under $25,000"
1530,"Under $25,000"
1540,"Under $25,000"
1550,"Under $25,000"
1560,"Under $25,000"
1570,"Under $25,000"
1580,"Under $25,000"
1590,"Under $25,000"
1600,"Under $25,000"
1604,"Under $25,000"
1610,"Under $25,000"
1620,"Under $25,000"
1630,"Under $25,000"
1640,"Under $25,000"
1650,"Under $25,000"
1660,"Under $25,000"
1670,"Under $25,000"
1680,"Under $25,000"
1690,"Under $25,000"
1700,"Under $25,000"
1710,"Under $25,000"
1720,"Under $25,000"
1730,"Under $25,000"
1740,"Under $25,000"
1750,"Under $25,000"
1760,"Under $25,000"
1770,"Under $25,000"
