INCTOT,INCTOT_group
-12300,Negative or Zero
-10000,Negative or Zero
-9900,Negative or Zero
-9880,Negative or Zero
-9800,Negative or Zero
-9600,Negative or Zero
-9100,Negative or Zero
-8800,Negative or Zero
-8700,Negative or Zero
-8600,Negative or Zero
-8500,Negative or Zero
-8400,Negative or Zero
-8320,Negative or Zero
-8300,Negative or Zero
-8200,Negative or Zero
-8100,Negative or Zero
-8050,Negative or Zero
-8000,Negative or Zero
-7950,Negative or Zero
-7900,Negative or Zero
-7870,Negative or Zero
-7830,Negative or Zero
-7800,Negative or Zero
-7720,Negative or Zero
-7660,Negative or Zero
-7600,Negative or Zero
-7500,Negative or Zero
-7410,Negative or Zero
-7400,Negative or Zero
-7300,Negative or Zero
-7280,Negative or Zero
-7230,Negative or Zero
-7200,Negative or Zero
-7100,Negative or Zero
-7090,Negative or Zero
-7080,Negative or Zero
-7060,Negative or Zero
-7000,Negative or Zero
-6900,Negative or Zero
-6830,Negative or Zero
-6800,Negative or Zero
-6700,Negative or Zero
-6690,Negative or Zero
-6610,Negative or Zero
-6600,Negative or Zero
-6500,Negative or Zero
-6480,Negative or Zero
-6400,Negative or Zero
-6300,Negative or Zero
-6200,Negative or Zero
-6170,Negative or Zero
-6100,Negative or Zero
-6000,Negative or Zero
-5900,Negative or Zero
-5800,Negative or Zero
-5700,Negative or Zero
-5600,Negative or Zero
-5500,Negative or Zero
-5400,Negative or Zero
-5300,Negative or Zero
-5200,Negative or Zero
-5100,Negative or Zero
-5000,Negative or Zero
-4920,Negative or Zero
-4900,Negative or Zero
-4800,Negative or Zero
-4700,Negative or Zero
-4600,Negative or Zero
-4500,Negative or Zero
-4410,Negative or Zero
-4400,Negative or Zero
-4300,Negative or Zero
-4200,Negative or Zero
-4100,Negative or Zero
-4000,Negative or Zero
-3900,Negative or Zero
-3800,Negative or Zero
-3700,Negative or Zero
-3600,Negative or Zero
-3500,Negative or Zero
-3400,Negative or Zero
-3300,Negative or Zero
-3200,Negative or Zero
-3100,Negative or Zero
-3000,Negative or Zero
-2900,Negative or Zero
-2896,Negative or Zero
-2860,Negative or Zero
-2800,Negative or Zero
-2780,Negative or Zero
-2750,Negative or Zero
-2704,Negative or Zero
-2700,Negative or Zero
-2696,Negative or Zero
-2690,Negative or Zero
-2680,Negative or Zero
-2640,Negative or Zero
-2610,Negative or Zero
-2600,Negative or Zero
-2596,Negative or Zero
-2520,Negative or Zero
-2500,Negative or Zero
-2496,Negative or Zero
-2450,Negative or Zero
-2440,Negative or Zero
-2420,Negative or Zero
-2410,Negative or Zero
-2400,Negative or Zero
-2396,Negative or Zero
-2370,Negative or Zero
-2350,Negative or Zero
-2310,Negative or Zero
-2300,Negative or Zero
-2296,Negative or Zero
-2280,Negative or Zero
-2270,Negative or Zero
-2250,Negative or Zero
-2220,Negative or Zero
-2200,Negative or Zero
-2196,Negative or Zero
-2190,Negative or Zero
-2180,Negative or Zero
-2170,Negative or Zero
-2140,Negative or Zero
-2130,Negative or Zero
-2120,Negative or Zero
-2110,Negative or Zero
-2100,Negative or Zero
-2096,Negative or Zero
-2090,Negative or Zero
-2080,Negative or Zero
-2050,Negative or Zero
-2030,Negative or Zero
-2020,Negative or Zero
-2000,Negative or Zero
-1996,Negative or Zero
-1990,Negative or Zero
-1980,Negative or Zero
-1970,Negative or Zero
-1950,Negative or Zero
-1940,Negative or Zero
-1930,Negative or Zero
-1900,Negative or Zero
-1896,Negative or Zero
-1860,Negative or Zero
-1850,Negative or Zero
-1800,Negative or Zero
-1796,Negative or Zero
-1780,Negative or Zero
