LANGUAGED,LANGUAGED_value,LANGUAGED_desc
0,N/A or blank,Language spoken [detailed version]
100,English,Language spoken [detailed version]
110,Jamaican Creole,Language spoken [detailed version]
120,"Krio, Pidgin Krio",Language spoken [detailed version]
130,Hawaiian Pidgin,Language spoken [detailed version]
140,Pidgin,Language spoken [detailed version]
150,"Gullah, Geechee",Language spoken [detailed version]
160,Saramacca,Language spoken [detailed version]
170,Other English-based Creole languages,Language spoken [detailed version]
200,German,Language spoken [detailed version]
210,Austrian,Language spoken [detailed version]
220,Swiss,Language spoken [detailed version]
230,Luxembourgian,Language spoken [detailed version]
240,Pennsylvania Dutch,Language spoken [detailed version]
300,"Yiddish, Jewish",Language spoken [detailed version]
310,Jewish,Language spoken [detailed version]
320,Yiddish,Language spoken [detailed version]
400,Dutch,Language spoken [detailed version]
410,"Dutch, Flemish, Belgian",Language spoken [detailed version]
420,Afrikaans,Language spoken [detailed version]
430,Frisian,Language spoken [detailed version]
440,"Dutch, Afrikaans, Frisian",Language spoken [detailed version]
450,"Belgian, Flemish",Language spoken [detailed version]
460,Belgian,Language spoken [detailed version]
470,Flemish,Language spoken [detailed version]
500,Swedish,Language spoken [detailed version]
600,Danish,Language spoken [detailed version]
700,Norwegian,Language spoken [detailed version]
800,Icelandic,Language spoken [detailed version]
810,Faroese,Language spoken [detailed version]
900,Scandinavian,Language spoken [detailed version]
1000,Italian,Language spoken [detailed version]
1010,"Rhaeto-Romanic, Ladin",Language spoken [detailed version]
1020,Friulian,Language spoken [detailed version]
1030,Romansh,Language spoken [detailed version]
1100,French,Language spoken [detailed version]
1110,"French, Walloon",Language spoken [detailed version]
1120,Provencal,Language spoken [detailed version]
1130,Patois,Language spoken [detailed version]
1140,French or Haitian Creole,Language spoken [detailed version]
1150,Cajun,Language spoken [detailed version]
1200,Spanish,Language spoken [detailed version]
1210,"Catalonian, Valencian",Language spoken [detailed version]
1220,"Ladino, Sefaradit, Spanol",Language spoken [detailed version]
1230,Pachuco,Language spoken [detailed version]
1250,Mexican,Language spoken [detailed version]
1300,Portuguese,Language spoken [detailed version]
1310,Papia Mentae,Language spoken [detailed version]
1320,Cape Verdean Creole,Language spoken [detailed version]
1400,Rumanian,Language spoken [detailed version]
1500,Celtic,Language spoken [detailed version]
1510,"Welsh, Breton, Cornish",Language spoken [detailed version]
1520,Welsh,Language spoken [detailed version]
1530,Breton,Language spoken [detailed version]
1540,"Irish Gaelic, Gaelic",Language spoken [detailed version]
1550,Gaelic,Language spoken [detailed version]
1560,Irish,Language spoken [detailed version]
1570,Scottish Gaelic,Language spoken [detailed version]
1580,Scotch,Language spoken [detailed version]
